No,Tanggal Iklan,URL,Harga_Juta,Kota,Luas Tanah,Luas Bangunan,Kamar Tidur,Kamar Mandi,Kamar Tidur Pembantu,Kamar Mandi Pembantu,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
1,04-09-2021,https://www.rumah123.com/properti/semarang/hos8146376/,2800,Semarang,200,150,4,3,1,1,0,0,3500,SHM,RUMAH MODERN MINIMALIS DI KOTA MANDIRI BSB SEMARANG,"- LOKASI DI DALAM CLUSTER ELITE, CITRALAND BSB, KARYA DEVELOPER CIPUTRA GRUP
 - LINGKUNGAN ASRI, SEJUK, TENANG, BEBAS BANJIR
 - FASILITAS UMUM LENGKAP, JOGGING TRACK, DANAU BUATAN ,DERETAN CAFE, RESTO, SUPERMARKET, PERTOKOAN DLL.
 - KEAMANAN 24JAM, SISTEM ONE GATE DG KARTU
 - KONDISI BANGUNAN NYARIS BARU. SANGAT BAGUS.
 - INVESTASI CERDAS KARENA HARGA AKAN NAIK TERUS. KARENA LOKASI INI MENJADI AKAN MENJADI KOTA SATELIT, LOKASI PRIMADONA DAN MENJADI ARAH PENGEMBANGAN KOTA SEMARANG."
2,04-09-2021,https://www.rumah123.com/properti/semarang/hos8145012/,550,Semarang,63,63,2,1,0,0,0,0,1300,SHM,RUMAH SIAP HUNI DITENGAH KOTA... JL. MANGGIS LAMPER,RUMAH TENGAH KOTA JL MANGGIS LAMPER TENGAH. LUAS TANAH 63. SIAP HUNI . 2KT 1KM. LISTRIK 1300..SHM..HARGA 550JT NEGOMINAT WA SAYA 081225112305
3,04-09-2021,https://www.rumah123.com/properti/semarang/hos8144602/,290,Semarang,82,30,2,1,0,0,0,0,1300,SHM,RUMAH BANYUMANIK STRATEGIS TERMURAH HARGA PROMO,"RUMAH GEDAWANG BANYUMANIK MURAH BANGET HARGA PROMO DIBAWAH PASAR. BUKTIKAN ! POSISI HOOK LUAS TANAH 82M2 LUAS BANGUNAN 30 2 KAMAR TIDUR 1 KAMAR MANDI AIR ARTETIS LISTRIK 1300 WATT BONUS : AC 1/2 PK 1 UNIT TAMAN CANTIK TEMBOK PAGAR TANDON AIR HARGA DIBAWAH PASARAN, 290 JUTA CASH !! MILIKI SEGERA HANYA ADA 1 UNIT AJA. SIAPA CEPAT DAPAT ! INFO HUBUNGI : DWI VINO 085641116688 ( WA )"
4,04-09-2021,https://www.rumah123.com/properti/semarang/hos8145126/,6900,Semarang,610,1250,4,5,0,0,0,1,8000,SHM,RUMAH BAGUS DI BUKIT COKLAT (DNY),"RUMAH BAGUS DI BUKIT COKLAT (DNY) 2 LANTAI + 1 SEMI BASEMENT BANGUNAN TERAWAT HOOK, ADA LANTAI DAK DI ROOF TOP VIEW KOTA LINGKUNGAN ASRI"
5,04-09-2021,https://www.rumah123.com/properti/semarang/hos8145227/,500,Semarang,108,120,6,3,0,0,0,0,1300,SHM,RUMAH DENGAN KAMAR BANYAK DI KETILENG,BANYAK DI KETILENG LUAS 108M BANGUNAN1.5 LANTAI 6KT 3KM AKSES MOBIL SIMPANGAN 500JT NEGO MINAT WA SAYA 081225112305
6,04-09-2021,https://www.rumah123.com/properti/semarang/hos8145057/,990,Semarang,150,250,5,3,0,0,1,1,2200,SHM,RUMAH MEWAH DI DAERAH FATMAWATI,RUMAH MEWAH DI DAERAH FATMAWATI 2200W GARASI DAN CARPORT TAMAN
7,04-09-2021,https://www.rumah123.com/properti/semarang/hos8144990/,875,Semarang,112,160,4,3,0,0,1,0,2200,SHM,RUMAH MEWAH DI TLOGOMULYO RESIDENCE (VR),RUMAH MEWAH DI TLOGOMULYO RESIDENCE (VR) 2 LANTAI ADA CARPORT
8,04-09-2021,https://www.rumah123.com/properti/semarang/hos8144594/,1750,Semarang,240,250,4,2,0,0,0,0,2200,SHM,RUMAH KOKOH GANDENG SELOMAS BARAT TANAH MAS SEMARANG UTARA,RUMAH DIJUAL SEMARANG RUMAH KOKOH GANDENG SELOMAS BARAT TANAH MAS SEMARANG UTARA BANGUNAN KOKOH KARENA BANGUN SENDIRI 2 RUMAH JADI 1 WATER HEATER KITCHEN SET ADA DAPUR BERSIH DAN DAPUR KOTOR
9,04-09-2021,https://www.rumah123.com/properti/semarang/hos8144593/,450,Semarang,96,96,2,1,0,0,0,0,900,SHM,RUMAH ASRI TANGGUL MAS BARAT TANAH MAS SEMARANG UTARA,RUMAH DIJUAL SEMARANG RUMAH ASRI TANGGUL MAS BARAT TANAH MAS SEMARANG UTARARUMAH DIJUAL SEMARANG RUMAH ASRI TANGGUL MAS BARAT TANAH MAS SEMARANG UTARA ± 4 KM (8 MENIT) KE PARAGON ± 5 KM (18 MENIT) KE PELABUHAN
10,04-09-2021,https://www.rumah123.com/properti/semarang/hos8144582/,699,Semarang,108,67,3,2,0,0,0,0,2200,SHM,RUMAH SENDANGMULYO 2 LANTAI MEVVAH HARGA PROMO,"SPESIAL PROMO GRANADA HOME III JALAN SENDANGMULYO RAYA TEMBALANG KOTA SEMARANG SPESIAL SMART DOOR LOCK & CCTV SETIAP UNITNYA, DENGAN DESAIN ELEGAN NAN MEWAH DI KELASNYA SPESIFIKASI : LUAS TANAH MULAI 108M LUAS BANGUNAN 67M ( 2 LANTAI ) 3 KAMAR TIDUR 2 KAMAR MANDI SHM LISTRIK 2200 BANGUNAN BER-IMB AIR PAM HARGA PROMO RP 699.000.000 DP RINGAN & ANGSURAN FLAT SAMPAI LUNAS AKSES MUDAH 10 DETIK JALAN KAKI DARI JALAN SENDANGMULYO RAYA INFO LENGKAP HUBUNGI : DWI VINO 085641116688"
11,04-09-2021,https://www.rumah123.com/properti/semarang/hos8144586/,600,Semarang,96,96,3,2,0,0,0,0,1300,SHM,RUMAH BANGUNAN BARU TANGGUL MAS BARAT TANAH MAS SEMARANG UTARA,"RUMAH DIJUAL SEMARANG RUMAH BANGUNAN BARU TANGGUL MAS BARAT TANAH MAS SEMARANG UTARA ± 4 KM (8 MENIT) KE PARAGON ± 4,9 KM (16 MENIT) KE PELABUHAN"
12,04-09-2021,https://www.rumah123.com/properti/semarang/hos8144583/,750,Semarang,120,100,3,2,0,0,0,0,2200,SHM,RUMAH TANGGUL MAS BARAT TANAH MAS SEMARANG UTARA,"RUMAH DIJUAL SEMARANG RUMAH TANGGUL MAS BARAT TANAH MAS SEMARANG UTARA ± 3,8 KM (8 MENIT) KE PARAGON ± 5,4 KM (12 MENIT) KE BANDARA"
13,04-09-2021,https://www.rumah123.com/properti/semarang/hos8141933/,290,Semarang,84,30,2,1,0,0,0,0,1300,SHM,RUMAH BANYUMANIK MURAH,GEDAWANG KAVLING PERMAI II BANYUMANIK POSISI HOOK DEKAT TRANSMART DEKAT SWALAYAN ADA DEKAT RS HERMINA 1 UNIT TERAHIR MINAT SEGERA..HUBUNGI YUSI 0822.2168.2010
